Timestamp,Please enter your participant ID,Please enter your estimated average treatment effect for the treated (SATT),Please enter the standard deviation of the estimated SATT,Please enter the 95% confidence interval for the estimated SATT,"Please enter the point estimate of the SATT for `mom_race` at level ""A"".","Please enter the 95% confidence interval of the estimated SATT for `mom_race` at level ""A"".",To interpret these results causally what assumptions would you have to make. Please summarize in one to two sentences at most.,What language did you use in today in running the analysis as part of this study?,What approach did you use for running the analysis as part of this study?,How long did it take for you to run the data analysis needed to answer the causal question you were assigned with today? ,How proficient/familiar are you with the tool you used in today's analysis?,Please rate the ease of use of the tool you used in today's analysis.,Please rate your confidence in the results of your analysis.,"If were ""stuck"" at any point in your analysis, did the tool you were using have a user guide or documentation that was able to unblock you or did you need external assistance? ",Did you experience any lagging or crashing of the software (you were using to run your analysis)?,"If you used thinkCausal today, how frequently do you use online web-based tools like thinkCausal for data analysis and answering causal questions?",What do you think are the primary drawbacks of the tool you used today? ,What were the most useful features of the tool you used today?,What improvements would you suggest for the tool you used today?,Would you recommend this tool to a fellow colleague/researcher for analysing their data to answer causal questions?,Is there anything else you would like us to know about your experience today?,Would you like to receive feedback (via follow up email) on your analysis today?
12/19/2023 16:21:52,100023,4.53,0.12,"4.29, 4.77",-0.126,-0.239 -0.125,"The assumptions are sufficient overlap and balance, conditional ignorability and SUTVA",Stata,Propensity score matching/weighting using Stata,~1 hour,3,2,3,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,"Hard to find useful documentation/user support, Visualizing and inspecting the data and modeling results is time/skill intensive",Software is freely available,"More concrete error messages for debugging, perhaps common debugging guide",Maybe if they had some prior experience with the tool/related software packages,Wasn't sure what a point estimate is,Yes
12/19/2023 17:12:46,10008,3.967,0.068,3.831 to 4.098,9.0291,6.8717 to 9.8386,"The key assumptions were that the data was balanced (i.e., that the treatment effects were consistent between both the control and treatment group) and that there was minimal overlap in the data. Moreover, all of the explanatory variables included in the analysis had to be recorded prior to treatment (bar Z and Y). ",None; used thinkCasual for the analysis,thinkCausal,"Once I uploaded the data, I was able to identify the SATT for both the total sample and for mom_race at level ""A"" within 5 minutes.",1,4,3,"A few parts were I was stuck: (1) trying to find the dataset to upload to perform the analysis - I searched through the ""Recent Files"" folder to find it. (2) A few parts of the software either didn't load or were uploaded in a different language, which made those parts unusable. Otherwise, the tool was very intuitive. ",No,4,"Hard to find useful documentation/user support, Easy to miss parameters that need setting/unsetting","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Reminded me about causal inference basics that I had forgotten or no longer understand well","A few tweaks with regards to polishing (proofreading sections to remove duplicate sections; for example, the section on overlap was the exact same as the section on balance). ",Maybe if they had some prior experience with the tool/related software packages,N/A,Yes
12/21/2023 13:48:33,100019,3.967,0.068,4.098,9.0291,9.8386,"Based on the results found in the model the treatment seems to increase a Childs iq at the age of 8 by 3.967 points, this increases to 9 when the Childs mom belongs to race ""A"". ",think casual,thinkCausal,15-20 minutes,1,4,4,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,3,"Hard to find useful documentation/user support, takes a bit of clicking around to get the hang of","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Reminded me about causal inference basics that I had forgotten or no longer understand well","- user ""check balance"", when you click ""what is this plot telling me"" it opens a side bar that is full of text in latin (filler text to be changed).
- in ""View subgroup results"", it took me a while to realize that lci stood for lower confidence interval and for uci, upper confidence interval.",Maybe if they had some prior experience with the tool/related software packages,"I found the user interface very nice, I really enjoyed the graphics and ease of use. There was no lagging and it didn't take long for the model to fit and hardly any time at all for the charts to refresh. I feel the only need for improvement is documentation. The ""what does this plot telling me"" text is not yet completed however when it is and when the abbreviations are expanded in the documentation I believe even someone with a limited stats background will be able to find what they need.",Yes
12/21/2023 18:13:52,10009,3.967,0.068,3.831;4.098,9.0291,6.8717;9.8386,"For causal interpretation, one would need to assume that ignorability and SUTVA are met.",R,Bayesian Additive Regression Trees (BART),approx. 10 mins,1,4,4,The tool had resources that I could use to resolve my issue,No,2,None,"Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easily accessible and interpretable analysis results",None,Yes,I really liked using the tool -- very intuitive and easy to use!,Yes
2/1/2024 15:26:01,100036,3.967,0.068,"3.831, 4.098",9.0291,"6.8717, 9.8386","The key assumptions are SUTVA, which is when one person's treatment does not affect another person's outcome and Ignorability, which is when the treatment assignments are done randomly given all the covariates.  Additionally, we want to assume that there are sufficient overlap and balance.",thinkCausal,thinkCausal,~15 minutes,3,5,4,"The tool has some supporting resources, which helped in the beginning states.  However, the supporting documents seem to be incomplete and thus, I was not able to use the guide for the interpretation of the results",No,2,Hard to find useful documentation/user support,"Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing","I would consider adding more documentation.  Right now, it seems understandable for people who have had training about causal inference and thus are familiar with the input and output interpretation and/or who have seen the tool before.  However, there are not step-by-step instructions on how to use the tool and the results interpretation is missing. ",Yes,N/A,Yes
2/1/2024 17:29:19,100034,3.967,0.068,"3.831, 4.098",9.0291,"6.8717, 9.8386","SUTVA, Ignorability",Think Causal,bartCause,26 minutes,1,4,4,The tool had resources that I could use to resolve my issue,No,2,"Easy to miss parameters that need setting/unsetting, Couldn't remember enough about causal inference to have a clear idea how to proceed","Intuitiveness/easy to follow, Easy and informative data inspection and visualization",For subgroup result tables the labels for confidence intervals in the table are not the same as the ones in the general results table,Yes,Really find it easy to use,Yes
2/1/2024 18:51:15,200030,4.851016,0.2019658,"4.454843, 5.247189",8.221092,"4.026555, 12.415630","Ignorability, STUVA, Overlap, Balance....",R,Propensity score matching/weighting using R,45min,4,4,4,The tool had resources that I could use to resolve my issue,No,1,Cumbersome setup in terms of installing required software(s)/package(s),Intuitiveness/easy to follow,It would be nice to code a function for SATT instead of repeating it. At first I wrote the code for the SATT but later for the level A I need to repeat my code to do basically the same thing,Yes,No,Yes
2/1/2024 20:12:29,200037,3.967,0.068,"(3.831,4.098)",9.0291,"(6.8717, 9.8386)","SUTVA, balance, overlap, ignorability, parametric assumptions",R,thinkCausal,5 mins,5,1,3,The tool had resources that I could use to resolve my issue,No,1,Can't look at the code,"Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easily accessible and interpretable analysis results, Software is freely available",Would be nice to be able to see the code along the analysis,Yes,How to properly use bartCausal,Yes
2/5/2024 14:17:44,100035,3.967,0.068,3.831-4.098,9.0291,6.8717-9.8386,"Balance and overlap on the treated, SUTVA,",R,thinkCausal,15min,2,5,5,The tool had resources that I could use to resolve my issue,No,4,Limited scope in terms of the kinds of analysis that can be done,Intuitiveness/easy to follow,no,Yes,no,Yes
2/5/2024 16:24:43,100028,3.967,0.068,[3.831; 4.098],9.0291,[6.8717; 9.8386],"First, I need to assume ignorability is satisfied; that is, that I have accounted for all potential confounders. Second, I need to assume that SUTVA is satisfied; that is, that there are no spillover effects (those assigned to the program received the program, and those not assigned did not receive it) and that all participants in the treatment condition received the same version of the treatment.",thinkCausal,thinkCausal,less than 10 minutes,2,5,4,The tool had resources that I could use to resolve my issue,No,1,"Although I ""selected"" the ATT option, the tool never verifies in some way if that is actually the type of analysis I want to make. Also, provided a causal interpretation when I am not confident that the assumptions were met.","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Easily accessible and interpretable analysis results, Reminded me about causal inference basics that I had forgotten or no longer understand well","When I was deciding which covariates to include, the tool asked me (or prompted me) to include all pre-treatment covariates. I think that type of messaging is nice to have when making decisions that could have implications for the type of analysis we run. For example, when choosing SATT there could be a pop-up thing asking if you are sure you want to estimate that estimand (and remind you why would you want to estimate the SATT).
Also, cautions on making causal claims when assumptions may have not been met. Although this is a tricky one because varies by data/study.",Maybe if they had some prior experience with the tool/related software packages,"I think it is a good tool to quickly inspect your data and run the causal analysis. I was wondering how much complexity it can support. But nonetheless, a good point to start and an awesome tool for people who are learning about causal inference.",Yes
2/5/2024 20:03:00,100039,3.967,0.068,[3.831;4.098],9.0291,[6.8717;9.8386],"I had to assume that given the pretreatment variables, the treatment was unconfouded (ignorability), that the treated units change in outcome does not affect control variables (SUTVA), that all the treated units in the sample have also control units in the sample (a testable assumption).",Think Causal,BART (Bayesian Additive Regression Trees),25 minutes,1,5,4,"The tool had resources, but I found one help result in Latin and also in the subgroup confidence interval I could not see the alpha level. ",No,1,"Limited scope in terms of the kinds of analysis that can be done, Data privacy compromised as it requires sharing data with third-party","Intuitiveness/easy to follow, Easy and informative data inspection and visualization","no Latin help code, precision in what are confidence interval, I need more time to check  this. ",No,Had an issue for getting into the building that did not allowed me to get into the room calmly,Yes
2/6/2024 11:36:28,100033,3.967,0.068,"(3.831, 4.098)",9.0291,"(6.8717, 9.8386)","Assume there are no hidden covariates (unobserved bias), covariates are well balanced with sufficient overlap, and satisfy SUTVA.",thinkCausal,thinkCausal,30min,4,4,4,The tool had resources that I could use to resolve my issue,No,2,"Couldn't remember enough about causal inference to have a clear idea how to proceed, Some description in the help page are in Espanio,","Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easily accessible and interpretable analysis results, Reminded me about causal inference basics that I had forgotten or no longer understand well",,Yes,No,No
2/6/2024 18:11:38,100042,3.967,0.068,"(3.831,4.098)",9.0291,"(6.8717,9.8386)",1. The potential outcomes for any unit are unaffected by the treatment assigned to other units(SUTVA). 2. The treatment and control group are balanced and overlapped.,thinkCausal,thinkCausal,7 min,1,4,4,I was not stuck in the analysis and do not know if there is such a documentation.,No,1,Limited scope in terms of the kinds of analysis that can be done,"Intuitiveness/easy to follow, Easily accessible and interpretable analysis results, can easily go back to the previous process to set up again","1. maybe some more guidance when using(if the tool is also faced with people without much causal knowledge) 2. in the checking step, can add some testing techniques which could give a hint if the treatment group and control group are balanced or overlap well. If not balanced or overlapped, can allow users to change the pre-treatment variables in the same place without go back to the previous one and directly see the changed results.",Maybe if they had some prior experience with the tool/related software packages,Great experience! Hope thinkCausal can help more people without programming knowledges.,Yes
2/8/2024 14:46:14,300040,4.7318,0.1247,"(4.4873,  4.9762)",-0.0304,"(-7.6253, 7.5645)","SUTVA: In this case, the assumption means that one person’s treatment assignment (whether they eligible/receive policy) would not affect another’s outcome. Ignorability: The treatment assignment z is independent of potential outcomes y.",R,Linear regression,25 minutes,5,5,4,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,"Software is freely available, Reminded me about causal inference basics that I had forgotten or no longer understand well",It will be great to  directly get the results of SATT and CACE.,Maybe if they had some prior experience with the tool/related software packages,"No, thank you.",Yes
2/8/2024 15:47:57,300046,1.6576,0.3102,"1.049, 2.266",4.98,"-5.49, 15.45","I assume SUTVA, positive support and ignorability.",R,Propensity score matching/weighting using R,30min,4,4,4,The tool had resources that I could use to resolve my issue,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,"Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Software is freely available",,Yes,not really,Yes
2/8/2024 17:03:26,200053,5.53,0.18,"5.18, 5.89",7.29,"1.90, 12.66",The two groups of children (those attending vs. those note attending preschool) were exchangeable conditional on the covariates in the model; there were no other sources of bias beyond the covariates included in the model (no omitted variable bias); parametric assumptions of OLS held up.,R,Linear regression,1 hour,2,2,1,Using online resources with coding guidance,No,1,Wasn't familiar with how to do the methods I wanted to in r,Software is freely available,Error messages are not helpful in troubleshooting coding issues; have to look for other online resources,Maybe if they had some prior experience with the tool/related software packages,"I started trying to conduct one set of analyses I am familiar with in Stata (psm) and tried to figure out how to do it in r and it wasn't easy to do within the hour, so resorted to more familiar methods (regression)",No
2/8/2024 18:57:40,200041,5.57,0.22,5.14-5.99,6.26,2.35-10.16,All observations ,R,bartCause,50 minutes,1,4,2,The tool had resources but I wasn't sure if I used it as appropriate to my data ,No,1,The resource pdf has lots of information to digest ,"Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Software is freely available","although the pdf version of the resource for the package has examples, if there was a step-by-step guide with explanation may be helpful ",Maybe if they had some prior experience with the tool/related software packages,I used ChatGPT to provide a basic introduction of the BartCause package and it was helpful. ,Yes
2/8/2024 20:08:03,200031,3.975,0.06617,"3.845,4.104",NA,NA,"For those who received the program, the intervention led to a 3.975 increase in the IQ of the children.",R,bartCause,50 minutes,1,4,1,The tool did not have any supporting resources like a user guide or documentation,No,1,Hard to find useful documentation/user support,Intuitiveness/easy to follow,"I would suggest having more documentation on how the implementation of functions like predict might differ for bartcause models. Since this is a relatively new package, people might want to know how it differs from existing functions",Yes,-,Yes
2/12/2024 14:46:50,300038,0.7428,0.1697,"0.410188, 1.07512",0.0648,"-0.001, 0.003",I would have to assume that there is no spillover (SUTVA) and all covariates have been accounted for and their are no more confounding variables.,R,Propensity score matching/weighting using R,42 minutes,4,3,2,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,"Hard to find useful documentation/user support, Easy to miss parameters that need setting/unsetting, Visualizing and inspecting the data and modeling results is time/skill intensive, Couldn't remember enough about causal inference to have a clear idea how to proceed","Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Software is freely available",better documentation on explaining the different types of propensity score matching (matched vs unmatched vs IPTW) with examples or explanations of when its best to use each tool,Maybe if they had some prior experience with the tool/related software packages,NA,Yes
2/15/2024 15:01:59,300065,5.448974,0.1904752,"(5.075341,5.822607)",8.316469,"(4.336405,12.29653)",no,R,Propensity score matching/weighting using R,50 minutes,4,3,4,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,3,"Slow in processing, Limited scope in terms of the kinds of analysis that can be done, Data privacy compromised as it requires sharing data with third-party","Intuitiveness/easy to follow, Adaptive to multiple analysis scenarios, Easily accessible and interpretable analysis results",,Yes,no,Yes
2/15/2024 16:08:47,300068,1.235,4.229,NA,NA,NA,each variable is independent ? I know nothing about that ,R,Linear regression,1hour,4,2,1,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,"Limited scope in terms of the kinds of analysis that can be done, Visualizing and inspecting the data and modeling results is time/skill intensive, sometimes I think R is quite professional to use if you do not know the actual coding. I need to type all the variables and it is a waste of time ","Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results",,Yes,I do not have knowledge about causal inference,Yes
2/15/2024 18:06:55,200070,1.272484,8.550861,"lower- 0.8371151 , upper - 1.7078526",4.325568,"lower - 0.8807118 , upper - 7.7704241",assumed covariate to be y variable in the dataset.,R,Propensity score matching/weighting using R,1 hr.,3,3,3,The tool did not have any supporting resources like a user guide or documentation,Yes,1,Easy to miss parameters that need setting/unsetting,Easy to re-run analysis in case of errors/system lag or crashing,N/A,Yes,N/A,Yes
2/15/2024 18:48:25,300058,1.28,8.5,0.95,4.3,0.95,"That the descriptor variables are independent of each other, and that they are identically distribution across the random sample",R,Propensity score matching/weighting using R,30-40 mins,3,3,4,The tool did not have any supporting resources like a user guide or documentation,No,1,"Cumbersome setup in terms of installing required software(s)/package(s), Easy to miss parameters that need setting/unsetting, Visualizing and inspecting the data and modeling results is time/skill intensive, Couldn't remember enough about causal inference to have a clear idea how to proceed",Software is freely available,"Be more intuitive in linking to source file
Have a dynamic user tooltips or hovers to guide users through the usage",Maybe if they had some prior experience with the tool/related software packages,"I am rusty on my Causal Inference tools/skills since I haven't interacted with it recently, nd I realize that R can be limiting to do this sort of analysis",Yes
2/15/2024 20:01:39,300069,5.449,5.916,"5.075, 5.822",8.316,"4.532, 12.101",The treatment and control group are randomly assigned (although it was not),R,Linear regression,50 min,5,4,2,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,1,"Easy to miss parameters that need setting/unsetting, Limited scope in terms of the kinds of analysis that can be done","Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Software is freely available",,Yes,NA,Yes
2/20/2024 18:26:36,100077,3.967,0.068,"[3.831, 4.098]",9.0291,"[6.8717, 9.8386]","The two-year preschool program would increase the child's IQ by 3.967, holding everything else constant, while when the mother's race=A, the effect of the preschool program increased to 9.030, holding everything else constant.",thinkCasual,thinkCausal,15 mins,1,4,4,The tool had resources that I could use to resolve my issue,No,5,"Easy to miss parameters that need setting/unsetting, Visualizing and inspecting the data and modeling results is time/skill intensive","Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Software is freely available",Providing an more accessible summary statistic table would be helpful.,Yes,"The software is actually very convenient to use in terms of operating difficulty, it would take some time to familiarize with the tool. I am interesting in a more complex usage of the software.",Yes
2/22/2024 15:06:38,200055,5.503995,0.2834436,"(4.948456, 6.059534)",5.53,"(4.97639,6.083179)",children are randomly assigned  into the program.,R,bartCause,50,1,3,4,The tool has resources but I was not able to use them to resolve my issue and had to take external help,Yes,1,"Slow in processing, Easy to miss parameters that need setting/unsetting","Intuitiveness/easy to follow, Easily accessible and interpretable analysis results",Processing could be faster.,Yes,no,Yes
2/22/2024 15:39:18,100057,3.967,0.068,"(3.831,4.098)",9.0291,"(6.8717,9.8386)","The child's IQ at age 8 of the participants whose ""mom_race"" at level ""A"" are higher than the average people.",No coding,Linear regression,20 minutes,4,5,4,The tool had resources that I could use to resolve my issue,No,3,Easy to miss parameters that need setting/unsetting,"Rich and easy to use documentation/user guide, Easily accessible and interpretable analysis results",,Yes,No,Yes
2/22/2024 17:02:08,100061,5.492,0.186,"5.134,5.856",5.492,"5.134,5.856",You would have to assume that there are no other factors influencing the effect of z on y. ,R,thinkCausal,10 minutes,1,5,3,The tool had resources that I could use to resolve my issue,No,1,"Visualizing and inspecting the data and modeling results is time/skill intensive, Couldn't remember enough about causal inference to have a clear idea how to proceed","Intuitiveness/easy to follow, Rich and easy to use documentation/user guide, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Software is freely available",,Yes,This was a wonderful experience and I learned a lot. ,Yes
2/22/2024 17:30:48,100047,3.967,0.068,"(3.831,4.098)",9.0291,"(6.8717,9.8386)","Need to satisfy assumptions of SUTVA and Ignorability. Additionally, having overlap for calculating the estimand and balance are helpful too.",R,thinkCausal,20 minutes,3,4,4,"The tool had the resources however some of it was still filler text, like the ""lorem ispum dollar""",No,4,"Data privacy compromised as it requires sharing data with third-party, I work at NYU Langone so we have hippa, but potentially if we deidentified the data, I could maybe use this tool.            Also, I forgot how you determine confounders? The tool suggested adding everything and I don't have domain knowledge on the example. Maybe a little blurb on confounders could help.","Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Adaptive to multiple analysis scenarios, Easy to re-run analysis in case of errors/system lag or crashing, Easily accessible and interpretable analysis results, Software is freely available, Reminded me about causal inference basics that I had forgotten or no longer understand well","I think a ""getting started""-esque guide like some people do in documentation or GitHub could be helpful. Just putting the hyper shoe example or a different dataset in and showing how someone would use think causal and interpret the graphs/results would be cool since then the user can just follow along with those steps.",Maybe if they had some prior experience with the tool/related software packages,"Great work! This tool looks awesome, I could definitely see myself going back and using this. I like the export log too, that way results can be easily reproducible (hopefully)",Yes
2/27/2024 18:58:41,300089,5.44,0.00457,5.44 +/- 0.0089,1.0124,1.0124 +/- 0.5488,Over all SATT of 5.44 shows that there is positive effect on z=1 on IQ of students.,Python,just group by and mean in pandas,50 mins,5,5,2,The tool had resources that I could use to resolve my issue,No,1,Couldn't remember enough about causal inference to have a clear idea how to proceed,"Intuitiveness/easy to follow, Easily accessible and interpretable analysis results, Software is freely available",,No,"No, just that I don't know a lot of things that are asked and I just attempted.",Yes
2/29/2024 15:04:23,200056,3.981,0.06588,"(3.852, 4.111)",3.9,-,"Compared with children who didn't join the program, the children's IQ in treatment group who joined the program increase 3.981 owning to the program.",R,bartCause,50min,3,4,2,The tool has resources but I was not able to use them to resolve my issue and had to take external help,No,2,Hard to find useful documentation/user support,Easily accessible and interpretable analysis results,,Maybe if they had some prior experience with the tool/related software packages,The documentation could include more examples.,Yes
2/29/2024 16:35:33,100021,3.967,0.068,3.831 - 4.098,9.0291,6.8717 - 9.8386,"To interpret these results causally, the assumptions that have to be made at SUTVA, ignorability, and the regular linear regression assumptions.",ThinkCausal,thinkCausal,30 minutes,1,4,1,The tool had resources that I could use to resolve my issue,No,1,Missing some info,"Intuitiveness/easy to follow, Easy and informative data inspection and visualization, Reminded me about causal inference basics that I had forgotten or no longer understand well",More completion of the information in the Help tab wherever it is missing.,Yes,"I clicked on some things to get more information in my analysis and it didn't have information accessible. For example, I asked about what some plots meant and it did not have additional information there as yet.",Yes
